rewards,steps,success
-1.0,1,0
-1.0,1,0
1.8435947712418301,1,1
-1.0,1,0
-1.0,1,0
4.556013071895425,1,1
-1.0,1,0
2.473267973856209,2,1
0.8788888888888888,1,1
0.005686274509803921,1,1
-1.0,1,0
1.6880392156862745,1,1
-1.0,1,0
4.040653594771242,3,1
1.6566666666666667,1,1
1.3259477124183006,1,1
-1.0,1,0
-1.0,1,0
1.5847712418300655,1,1
-1.0,1,0
4.656339869281045,3,1
-1.0,1,0
4.67718954248366,2,1
0.9886928104575163,1,1
1.6540522875816994,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
1.6540522875816994,1,1
-1.0,1,0
-1.0,1,0
1.7808496732026144,1,1
-1.0,1,0
0.005686274509803921,1,1
-1.0,1,0
1.578235294117647,1,1
0.5560130718954248,1,1
1.4880392156862745,1,1
0.4723529411764706,1,1
0.7141830065359477,1,1
0.8893464052287582,1,1
0.8932679738562092,1,1
-1.0,1,0
-1.0,1,0
0.005686274509803921,1,1
-1.0,1,0
1.5860784313725491,1,1
1.1403267973856208,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
1.6252941176470588,1,1
-1.0,1,0
-1.0,1,0
3.8301307189542486,2,1
0.4618954248366013,1,1
1.6213725490196078,1,1
-1.0,1,0
1.1298692810457516,1,1
-1.0,1,0
-1.0,1,0
3.62359477124183,2,1
4.775228758169935,2,1
3.99,1,1
0.6828104575163398,1,1
1.2723529411764707,1,1
0.8828104575163399,1,1
1.4004575163398694,1,1
1.0131372549019606,2,1
1.7024183006535947,1,1
0.8971895424836601,1,1
0.9194117647058824,1,1
-1.0,1,0
1.0279084967320262,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
4.630522875816994,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.9808496732026144,1,1
0.005686274509803921,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.6618954248366014,1,1
1.2880392156862746,1,1
1.3834640522875816,1,1
-1.0,1,0
3.7334640522875815,3,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.8109150326797385,1,1
1.5547058823529412,1,1
-1.0,1,0
1.471045751633987,1,1
0.6043790849673203,1,1
5.001764705882353,1,1
0.8187581699346406,1,1
-1.0,1,0
0.5873856209150327,1,1
1.6579738562091504,1,1
1.1011111111111112,1,1
-1.0,1,0
1.6122222222222222,1,1
1.6998039215686274,1,1
1.49718954248366,1,1
4.920392156862745,3,1
1.0030718954248365,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.905032679738562,1,1
1.7442483660130719,1,1
0.005686274509803921,1,1
1.6026797385620914,2,1
-1.0,1,0
1.3220261437908496,1,1
1.1468627450980393,1,1
0.4697385620915033,1,1
3.4932679738562094,1,1
1.4148366013071896,1,1
1.7481699346405228,1,1
1.112875816993464,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.7076470588235294,1,1
-1.0,1,0
-1.0,1,0
0.9128758169934641,1,1
0.005686274509803921,1,1
1.4331372549019608,1,1
1.0932679738562092,1,1
0.6383660130718954,1,1
1.316797385620915,1,1
-1.0,1,0
-1.0,1,0
0.6605882352941176,1,1
1.0540522875816993,1,1
-1.0,1,0
0.9560130718954248,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.9259477124183007,1,1
-1.0,1,0
-1.0,1,0
1.3612418300653595,1,1
-1.0,1,0
5.915490196078432,1,1
-1.0,1,0
0.8958823529411765,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
1.6788888888888889,1,1
-1.0,1,0
2.404052287581699,3,1
-1.0,1,0
1.7677777777777777,1,1
0.6213725490196078,1,1
4.613529411764706,1,1
0.7377124183006536,1,1
1.4409803921568627,1,1
1.6292156862745097,1,1
-1.0,1,0
1.1115686274509804,1,1
0.6353594771241831,2,1
0.7834640522875816,1,1
1.0501307189542484,1,1
1.3324836601307188,1,1
0.9664705882352941,1,1
-1.0,1,0
0.974313725490196,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.9442483660130719,1,1
1.64359477124183,1,1
1.7873856209150327,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.6788888888888889,1,1
-1.0,1,0
-1.0,1,0
1.1952287581699346,1,1
1.016143790849673,1,1
-1.0,1,0
-1.0,1,0
0.6788888888888889,1,1
-1.0,1,0
-1.0,1,0
1.8618954248366013,1,1
0.7102614379084967,1,1
-1.0,1,0
1.6880392156862745,1,1
-1.0,1,0
0.7664705882352941,1,1
1.6762745098039216,1,1
3.0850326797385623,2,1
1.8135294117647058,1,1
5.180849673202615,1,1
0.35470588235294115,1,1
-1.0,1,0
11.526928104575163,3,1
-1.0,1,0
1.6161437908496732,1,1
-1.0,1,0
-1.0,1,0
4.017058823529412,2,1
1.3455555555555556,1,1
-1.0,1,0
1.693267973856209,1,1
1.7533986928104575,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
4.836666666666667,2,1
1.801764705882353,1,1
0.8998039215686274,1,1
-1.0,1,0
-1.0,1,0
0.005686274509803921,1,1
4.545163398692811,2,1
-1.0,1,0
15.499477124183006,3,1
0.48411764705882354,1,1
0.005686274509803921,1,1
-1.0,1,0
-1.0,1,0
2.502091503267974,3,1
0.005686274509803921,1,1
-1.0,1,0
-1.0,1,0
0.9011111111111111,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
4.8527450980392155,1,1
-1.0,1,0
-1.0,1,0
1.1965359477124182,1,1
-1.0,1,0
1.64359477124183,1,1
-1.0,1,0
4.942941176470589,1,1
-1.0,1,0
4.6722222222222225,5,1
-1.0,1,0
0.3599346405228758,1,1
1.9194117647058824,1,1
-1.0,1,0
-1.0,1,0
0.7481699346405228,1,1
-1.0,1,0
1.701111111111111,1,1
-1.0,1,0
1.0618954248366013,1,1
-1.0,1,0
0.7547058823529411,1,1
5.223986928104575,1,1
1.3939215686274509,1,1
1.7730065359477125,1,1
-1.0,1,0
-1.0,1,0
0.9115686274509803,1,1
1.0148366013071894,1,1
1.5507843137254902,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.9337908496732026,1,1
-1.0,1,0
0.9350980392156862,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.9337908496732026,1,1
-1.0,1,0
1.6161437908496732,1,1
2.4837254901960786,2,1
1.0501307189542484,1,1
-1.0,1,0
-1.0,1,0
1.439673202614379,1,1
0.005686274509803921,1,1
1.0279084967320262,1,1
1.6893464052287581,1,1
0.6566666666666666,1,1
0.5455555555555556,1,1
2.8877124183006533,3,1
1.6331372549019607,1,1
3.6327450980392157,2,1
0.005686274509803921,1,1
3.9857516339869283,3,1
-1.0,1,0
0.005686274509803921,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
1.6213725490196078,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.6344444444444445,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.6893464052287581,1,1
5.090326797385621,3,1
0.005686274509803921,1,1
-0.11588235294117646,6,0
0.9259477124183007,1,1
1.1664705882352941,1,1
0.9337908496732026,1,1
1.5795424836601306,1,1
5.142941176470589,1,1
0.7481699346405228,1,1
-1.0,1,0
-1.0,1,0
3.2929411764705883,3,1
0.5939215686274509,1,1
-1.0,1,0
1.4880392156862745,1,1
2.2096078431372552,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.7115686274509804,1,1
-1.0,1,0
0.970392156862745,1,1
1.7194117647058824,1,1
1.148169934640523,1,1
0.005686274509803921,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
1.0645098039215686,1,1
-1.0,1,0
1.7834640522875818,1,1
0.9377124183006535,1,1
0.005686274509803921,1,1
-1.0,1,0
-1.0,1,0
1.6174509803921568,1,1
-1.0,1,0
0.3664705882352941,1,1
1.732483660130719,1,1
4.668104575163399,3,1
-1.0,1,0
0.8516339869281045,4,1
-1.0,1,0
0.8579738562091503,1,1
-1.0,1,0
0.005686274509803921,1,1
-1.0,1,0
1.3804575163398691,2,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.8645098039215686,1,1
0.8828104575163399,1,1
1.59,1,1
1.3913071895424836,1,1
-1.0,1,0
1.0501307189542484,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.005686274509803921,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
1.7141830065359478,1,1
1.0540522875816993,1,1
1.5756209150326796,1,1
1.6488235294117648,1,1
-1.0,1,0
0.9194117647058824,1,1
1.152091503267974,1,1
-1.0,1,0
0.7743137254901961,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
1.7141830065359478,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.9154901960784314,1,1
5.333464052287582,3,1
1.1194117647058823,1,1
0.49849673202614375,1,1
1.320718954248366,1,1
-1.0,1,0
1.6697385620915033,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
4.631830065359478,1,1
0.8540522875816994,1,1
0.005686274509803921,1,1
1.854967320261438,2,1
0.6736601307189543,1,1
0.6945751633986929,1,1
-1.0,1,0
-1.0,1,0
1.7886928104575164,1,1
0.6684313725490196,1,1
-1.0,1,0
-1.0,1,0
0.005686274509803921,1,1
0.6122222222222222,1,1
-1.0,1,0
0.8069934640522876,1,1
-1.0,1,0
0.9298692810457516,1,1
-1.0,1,0
-1.0,1,0
0.8645098039215686,1,1
1.8867320261437908,1,1
1.6030718954248366,1,1
0.5756209150326798,1,1
0.7520915032679738,1,1
1.0510457516339868,2,1
1.5716993464052287,1,1
1.6628104575163398,2,1
1.0109150326797385,1,1
-1.0,1,0
1.593921568627451,1,1
-1.0,1,0
-1.0,1,0
1.2710457516339868,1,1
0.9520915032679739,1,1
0.8645098039215686,1,1
-1.0,1,0
1.1442483660130718,1,1
-1.0,1,0
0.9259477124183007,1,1
-1.0,1,0
1.090653594771242,1,1
1.6527450980392158,1,1
1.701111111111111,1,1
1.5677777777777777,1,1
1.5507843137254902,1,1
-1.0,1,0
1.0266013071895426,1,1
-1.0,1,0
-1.0,1,0
1.7442483660130719,1,1
1.9468627450980391,1,1
-1.0,1,0
-1.0,1,0
1.7743137254901962,1,1
2.4462091503267978,1,1
1.1847712418300653,1,1
3.839281045751634,2,1
-1.0,1,0
1.4527450980392156,1,1
1.6501307189542485,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
1.7298692810457517,1,1
0.8667320261437909,2,1
